text,label
"How do I grow weed indoors?","grow_tips"
"Best lights for cannabis growing?","grow_tips"
"What soil is good for marijuana?","grow_tips"
"Tips for a beginner grower","grow_tips"
"How much water does a cannabis plant need?","grow_tips"
"What does zaza mean?","slang_definition"
"Explain the slang 'boof'","slang_definition"
"What’s a rig in cannabis culture?","slang_definition"
"Define loud weed","slang_definition"
"Meaning of couch-lock","slang_definition"
"Can you recommend a relaxing strain?","strain_recommendation"
"What’s the best indica for sleep?","strain_recommendation"
"Suggest a hybrid strain","strain_recommendation"
"Which sativa is good for focus?","strain_recommendation"
"Got a good strain for anxiety?","strain_recommendation"
"Where’s my order?","order_tracking"
"Track my cannabis delivery","order_tracking"
"Has my weed shipped yet?","order_tracking"
"When will my package arrive?","order_tracking"
"Check status of my order","order_tracking"
"Is marijuana legal in California?","cannabis_laws"
"Can I fly with edibles?","cannabis_laws"
"What’s the legal possession limit?","cannabis_laws"
"Are recreational weed sales allowed in Florida?","cannabis_laws"
"Tell me the rules about cannabis in my state","cannabis_laws"
"What’s live resin?","product_info"
"Difference between rosin and shatter?","product_info"
"What’s inside a pre-roll?","product_info"
"Explain moonrocks","product_info"
"THC percentage of this strain?","product_info"
"What strain helps with anxiety?","effect_advice"
"What will make me giggly?","effect_advice"
"Which strain won’t cause paranoia?","effect_advice"
"I need focus, suggest a strain","effect_advice"
"Best snack for the munchies?","munchies_recommendation"
"I got the munchies hard","munchies_recommendation"
"What food is good when high?","munchies_recommendation"
"Favorite edible combos?","munchies_recommendation"
"How long do edibles take?","edible_help"
"Why am I not high yet?","edible_help"
"Best time to take edibles?","edible_help"
"How much edible should I take?","edible_help"
"What music should I listen to high?","music_recommendation"
"Give me a stoner playlist","music_recommendation"
"Best music while baked?","music_recommendation"
"High vibes tunes?","music_recommendation"
"Tell me a weed fact","fun_facts"
"Got cannabis trivia?","fun_facts"
"Something cool about marijuana?","fun_facts"
"Blow my mind with a fact","fun_facts"
"Give me a stoner quote","stoner_quotes"
"Hit me with weed wisdom","stoner_quotes"
"Inspirational cannabis quotes?","stoner_quotes"
"Something deep and dank","stoner_quotes"
"Clear chat","clear_chat"
"Reset conversation","clear_chat"
"Start fresh chat","clear_chat"
"Who are you?","who_are_you"
"What’s your name?","who_are_you"
"Are you real or AI?","who_are_you"
"Tell me about GanjaGuru","who_are_you"
"Should I wake and bake?","wake_and_bake"
"Is it too early to toke?","wake_and_bake"
"Morning sesh?","wake_and_bake"
"I’ve never smoked before","first_timer_help"
"Help me with my first high","first_timer_help"
"Beginner smoking tips","first_timer_help"
"How do I smoke for the first time?","first_timer_help"
"How do I clean my bong?","cleaning_tips"
"Best way to clean glass pipe?","cleaning_tips"
"My bowl is dirty","cleaning_tips"
"Is weed better than alcohol?","weed_vs_alcohol"
"Why do people prefer cannabis?","weed_vs_alcohol"
"Alcohol or weed?","weed_vs_alcohol"
"Tell me about weed history","weed_history"
"Who used cannabis first?","weed_history"
"When did people start smoking weed?","weed_history"
"Funny stoner story?","funny_stoner_moments"
"Got any weed fails?","funny_stoner_moments"
"Make me laugh, I’m high","funny_stoner_moments"
"How do vaporizers work?","vaporizer_tips"
"Best temp for vaping weed?","vaporizer_tips"
"Should I vape or smoke joints?","vaporizer_tips"
"Is weed spiritual?","cannabis_spirituality"
"Can cannabis help me meditate?","cannabis_spirituality"
"Does weed expand the mind?","cannabis_spirituality"
"Should I take a tolerance break?","weed_breaks"
"Why don’t I get high anymore?","weed_breaks"
"What’s a tolerance break?","weed_breaks"
"Fun games to play while high?","stoner_games"
"Best stoner party games?","stoner_games"
"I need a stoner challenge","stoner_games"